id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
49,AKSR - Soniye.mp3,Soniye,songs-file/AKSR%20-%20Soniye.mp3.mp3,296.72,0,0,26,AKSR,Aksar,2006,"Sunidhi Chauhan, KK",Hindi
50,AW - All Falls Down.mp3,All Falls Down,songs-file/AW%20-%20All%20Falls%20Down.mp3.mp3,220.1832,0,0,27,AW,Alan Walker,2012,Alan Walker,English
51,AW - Alone.mp3,Alone,songs-file/AW%20-%20Alone.mp3.mp3,160.5032,0,0,27,AW,Alan Walker,2012,Alan Walker,English
52,AW - Always.mp3,Always,songs-file/AW%20-%20Always.mp3.mp3,240.384,0,0,27,AW,Alan Walker,2012,Alan Walker,English
53,AW - Charli XCX (After the Afterparty).mp3,Charli XCX (After the Afterparty),songs-file/AW%20-%20Charli%20XCX%20(After%20the%20Afterparty).mp3.mp3,196.9432,0,0,27,AW,Alan Walker,2012,Alan Walker,English
54,AW - Darkside.mp3,Darkside,songs-file/AW%20-%20Darkside.mp3.mp3,239.7432,0,0,27,AW,Alan Walker,2012,Alan Walker,English
55,AW - Different World.mp3,Different World,songs-file/AW%20-%20Different%20World.mp3.mp3,222.216,0,0,27,AW,Alan Walker,2012,Alan Walker,English
56,AW - Fade [NCS Release].mp3,Fade [NCS Release],songs-file/AW%20-%20Fade%20%5BNCS%20Release%5D.mp3.mp3,260.0432,0,0,27,AW,Alan Walker,2012,Alan Walker,English
57,AW - Faded.mp3,Faded,songs-file/AW%20-%20Faded.mp3.mp3,212.5032,0,0,27,AW,Alan Walker,2012,Alan Walker,English
58,AW - Force [FDM].mp3,Force [FDM],songs-file/AW%20-%20Force%20%5BFDM%5D.mp3.mp3,240.042375,0,0,27,AW,Alan Walker,2012,Alan Walker,English
59,AW - Hide & Seek.mp3,Hide & Seek,songs-file/AW%20-%20Hide%20%26%20Seek.mp3.mp3,241.368,0,0,27,AW,Alan Walker,2012,Alan Walker,English
60,AW - Ignite.mp3,Ignite,songs-file/AW%20-%20Ignite.mp3.mp3,229.3832,0,0,27,AW,Alan Walker,2012,Alan Walker,English
61,AW - Journey.mp3,Journey,songs-file/AW%20-%20Journey.mp3.mp3,185.736,0,0,27,AW,Alan Walker,2012,Alan Walker,English
62,AW - On My Way.mp3,On My Way,songs-file/AW%20-%20On%20My%20Way.mp3.mp3,193.85469387755103,0,0,27,AW,Alan Walker,2012,"Alan Walker, Farruko, Sabrina Carpenter",English
63,AW - Sing Me to Sleep.mp3,Sing Me to Sleep,songs-file/AW%20-%20Sing%20Me%20to%20Sleep.mp3.mp3,191.5632,0,0,27,AW,Alan Walker,2012,Alan Walker,English
64,AW - Tired.mp3,Tired,songs-file/AW%20-%20Tired.mp3.mp3,216.1032,0,0,27,AW,Alan Walker,2012,Alan Walker,English
65,A-TBND - Haye Mera Dil.mp3,Haye Mera Dil,songs-file/A-TBND%20-%20Haye%20Mera%20Dil.mp3.mp3,207.90857142857143,0,0,28,A-TBND,Alfaaz - The Boy Next Door,2011,"Yo Yo Honey Singh, Amanjot singh Panwar",Hindi
66,AIW - Baaton Ko Teri.mp3,Baaton Ko Teri,songs-file/AIW%20-%20Baaton%20Ko%20Teri.mp3.mp3,280.166475,0,0,29,AIW,All Is Well,2015,Arijit Singh,Hindi
67,AIW - Chaar Shanivaar.mp3,Chaar Shanivaar,songs-file/AIW%20-%20Chaar%20Shanivaar.mp3.mp3,214.17795918367347,0,0,29,AIW,All Is Well,2015,"Vishal Dadlani, Armaan Malik, Badshah",Hindi
68,AIW - Mere Humsafar.mp3,Mere Humsafar,songs-file/AIW%20-%20Mere%20Humsafar.mp3.mp3,352.78514739229024,0,0,29,AIW,All Is Well,2015,"Mithoon, Tulsi Kumar",Hindi
